point_id,name,lat,lon,corridor,direction,notes
weh_kherwadi,WEH Kherwadi junction (Bandra E),19.0600,72.8470,WEH,SB,KEEP proven 156 slots [seg 0facd2 16.22km FRC1]
eeh_teen_hath,EEH Teen Hath Naka (Thane),19.1865,72.9717,EEH,junction,KEEP proven 71 slots [seg 9ce562 3.39km FRC6]
eeh_bhandup,EEH Bhandup,19.14166,72.94881,EEH,SB,KEEP proven 16 slots [seg 29627f 13.34km FRC1]
eeh_vikhroli,EEH Vikhroli,19.10743,72.93163,EEH,SB,KEEP proven 111 slots [seg caf1e5 12.89km FRC1]
eeh_sion,EEH Sion flyover,19.04236,72.86427,EEH,SB,KEEP proven 124 slots [seg 0fc451 1.28km FRC2]
lbs_kurla,LBS Marg x CST Rd (Kurla),19.0705,72.8790,LBS,junction,KEEP proven 14 slots [seg 8fa8ca 1.25km FRC4]
linking_road,Linking Road Bandra,19.06415,72.83484,LINK,both,KEEP proven 13 slots [seg 6ed788 2.85km FRC2]
jvlr_powai,JVLR Powai (Hiranandani),19.12023,72.90623,JVLR,both,KEEP proven 31 slots [seg e0f8d3 11.81km FRC3]
sion_circle,Sion Circle,19.0430,72.8630,junction,junction,KEEP proven 30 slots [seg 0d905e 8.74km FRC1]
lalbaugcha_raja,Lalbaugcha Raja,18.99198,72.83634,GANPATI,event,pandal 2026 Ganeshotsav [seg 5bdf30 2.36km FRC4]
chintamani_chinchpokli,Chintamani Chinchpokli,18.98595,72.83546,GANPATI,event,pandal 2026 Ganeshotsav [seg a7453e 2.35km FRC4]
hindmata_junction,Hindmata Junction,19.01307,72.84454,GANPATI,event,procession road 2026 Ganeshotsav [seg 48e774 0.96km FRC2]
parel_tt,Parel TT,18.98012,72.83005,GANPATI,event,procession road 2026 Ganeshotsav [seg 764b78 1.00km FRC4]
kalachowki,Kalachowki,18.97733,72.84146,GANPATI,event,"procession road 2026 Ganeshotsav [verified 621774 2.14km FRC4 ff17, moved 1084m]"
gd_ambekar_marg,GD Ambekar Marg,18.98812,72.84037,GANPATI,event,procession road 2026 Ganeshotsav [seg 6ebe9d 0.72km FRC4]
sk_bole_road_dadar,SK Bole Road Dadar,19.01951,72.84029,GANPATI,event,procession road 2026 Ganeshotsav [seg 3de3d9 0.90km FRC2]
gsb_seva_mandal,GSB Seva Mandal,19.02468,72.85706,GANPATI,event,pandal 2026 Ganeshotsav [seg 74613b 12.53km FRC1]
andhericha_raja,Andhericha Raja,19.12819,72.83759,GANPATI,event,pandal 2026 Ganeshotsav [seg 4f4184 1.81km FRC4]
khetwadi_ganraj,Khetwadi Ganraj,18.96176,72.82202,GANPATI,event,pandal 2026 Ganeshotsav [seg 6b7a2d 2.56km FRC4]
girgaon_chowpatty,Girgaon Chowpatty,18.95386,72.81536,VISARJAN,event,immersion 2026 Ganeshotsav [seg 7f73c9 1.93km FRC1]
marine_drive_approach,Marine Drive (approach),18.93082,72.82623,VISARJAN,event,immersion 2026 Ganeshotsav [seg 1eb4c8 0.68km FRC4]
dadar_chowpatty,Dadar Chowpatty,19.02183,72.84239,VISARJAN,event,"immersion 2026 Ganeshotsav [verified c8eea3 0.79km FRC4 ff19, moved 415m]"
juhu_beach,Juhu Beach,19.09032,72.84089,VISARJAN,event,immersion 2026 Ganeshotsav [seg 89fc91 1.76km FRC4]
versova_beach,Versova Beach,19.13985,72.80936,VISARJAN,event,immersion 2026 Ganeshotsav [seg 4b43a0 5.79km FRC7]
powai_lake,Powai Lake,19.13259,72.89672,VISARJAN,event,"immersion 2026 Ganeshotsav [verified 41f0ba 0.15km FRC4 ff13, moved 78m]"
bandra_bandstand,Bandra Bandstand,19.05880,72.83409,VISARJAN,event,immersion 2026 Ganeshotsav [seg 449569 0.39km FRC4]
ctl_mulund_eeh,CONTROL Mulund EEH,19.17734,72.94202,CONTROL,event,control 2026 Ganeshotsav [seg 69bd8b 2.04km FRC4]
ctl_borivali_weh,CONTROL Borivali WEH,19.22159,72.86548,CONTROL,event,"control 2026 Ganeshotsav [verified ae7ad9 0.71km FRC4 ff25, moved 361m]"
ctl_kandivali,CONTROL Kandivali,19.20599,72.86605,CONTROL,event,control 2026 Ganeshotsav [seg 52dd3b 1.12km FRC4]
ctl_malad,CONTROL Malad,19.18011,72.85901,CONTROL,event,control 2026 Ganeshotsav [seg 5cbbb5 1.63km FRC4]
ctl_ghatkopar,CONTROL Ghatkopar,19.07444,72.91211,CONTROL,event,control 2026 Ganeshotsav [seg ebd27d 1.38km FRC1]
ctl_vikhroli,CONTROL Vikhroli,19.11562,72.91660,CONTROL,event,"control 2026 Ganeshotsav [verified 3a2cb5 2.78km FRC4 ff23, moved 1508m]"
kalanagar,Kalanagar Junction,19.05809,72.85049,CHOKE,event,"top chokepoint, blind until now [verified 44236f 0.68km FRC4 ff22, 154m from geocode]"
sakinaka,Sakinaka Junction,19.09551,72.88363,CHOKE,event,"famous chokepoint [verified 3406f8 2.77km FRC4 ff22, 720m from geocode]"
amar_mahal,Amar Mahal Junction,19.06799,72.90266,CHOKE,event,"famous chokepoint [verified 2df91b 0.58km FRC4 ff28, 373m from geocode]"
mahim_junction,Mahim Junction,19.04511,72.84073,CHOKE,event,"WEH south end [verified 9381ee 0.37km FRC2 ff19, 225m from geocode]"
andheri_subway,Andheri Subway,19.11188,72.85873,CHOKE,event,"famous chokepoint [verified 6d8791 0.47km FRC4 ff15, 407m from geocode]"
byculla_ba_road,Byculla,18.98037,72.83889,GANPATI,event,"Dr B.A. Rd procession route [verified 47686d 0.96km FRC4 ff23, 463m from geocode]"
acharya_donde,Acharya Donde Marg,19.00530,72.84041,GANPATI,event,"named in police diversions [verified f5cbd3 0.72km FRC4 ff22, 88m from geocode]"
nagpada,Nagpada (Tardeo area),18.96905,72.81850,GANPATI,event,"procession area - geocoded to Nagpada [verified 829c10 2.87km FRC4 ff19, 525m from geocode]"
worli_naka,Worli Naka,19.00635,72.81824,GANPATI,event,"procession corridor [verified 6844d0 1.75km FRC4 ff32, 589m from geocode]"
wadala,Wadala,19.02911,72.88782,GANPATI,event,"central processions [verified 88dc39 0.10km FRC4 ff21, 465m from geocode]"
kalbadevi,Kalbadevi (Chowpatty approach),18.95147,72.82303,VISARJAN,event,"Girgaon Chowpatty approach via Kalbadevi [verified 615315 2.11km FRC4 ff17, 743m from geocode]"
opera_house,Opera House,18.95686,72.81304,VISARJAN,event,"Chowpatty approach [verified 326c7b 0.39km FRC1 ff24, 221m from geocode]"
atal_setu,Atal Setu (Trans Harbour Link),18.99588,72.85415,CONTROL,event,"harbour bridge - no procession route, strong control [verified 2f8778 0.64km FRC2 ff58, 95m from geocode]"
ctl_goregaon,Goregaon East,19.16800,72.85850,CONTROL,event,"control [verified e5d320 1.87km FRC4 ff21, 695m from geocode]"
ctl_jogeshwari,Jogeshwari West,19.14426,72.84075,CONTROL,event,"control [verified 397bfb 0.66km FRC2 ff17, 419m from geocode]"
ctl_bhandup,Bhandup West,19.15362,72.94363,CONTROL,event,"control [verified d97d22 1.85km FRC4 ff18, 715m from geocode]"
ctl_bhandup_quarry,"Quarry Road, Bhandup West",19.14559,72.92862,CONTROL,event,"control (geocoded to Bhandup, not Kanjurmarg) [verified c1cb1d 2.18km FRC4 ff17, 1038m from geocode]"
ctl_santacruz,Santacruz East,19.07428,72.85292,CONTROL,event,"control [verified 407c56 1.52km FRC2 ff32, 630m from geocode]"
